,year,month,longitude,latitude,surface_temperature,total_precipitations
0,2013,1,16.673,40.201,10.526781241923231,0.0011705998838961095
1,2013,2,16.673,40.201,9.842431640625023,0.002621126567090226
2,2013,3,16.673,40.201,12.147031100534548,0.002276011192221433
3,2013,4,16.673,40.201,15.629469822068415,0.00043979341067571735
4,2013,5,16.673,40.201,19.690529976160633,0.0002791534562314895
5,2013,6,16.673,40.201,23.700785685533674,0.0007806960055107759
6,2013,7,16.673,40.201,26.055365734302086,0.000652982252909154
7,2013,8,16.673,40.201,27.839013671875023,0.0003372454756440332
8,2013,9,16.673,40.201,24.538921714089895,8.625247573945671e-05
9,2013,10,16.673,40.201,20.62203633555208,0.000931025735135602
10,2013,11,16.673,40.201,16.13861274374051,0.007351413369178772
11,2013,12,16.673,40.201,11.239141942471974,0.004585279826502497
12,2016,1,16.673,40.201,10.937340814038862,0.0012238112934228882
13,2016,2,16.673,40.201,12.41335219171549,0.001030193585458059
14,2016,3,16.673,40.201,12.361804945987387,0.005545269697904587
15,2016,4,16.673,40.201,15.99173684515938,0.0004802748761912989
16,2016,5,16.673,40.201,18.10441957007231,0.002019777577497883
17,2016,6,16.673,40.201,23.801773197908176,0.0005667325991252047
18,2016,7,16.673,40.201,27.283349609375023,0.00034725689329206987
19,2016,8,16.673,40.201,26.039426562464257,0.0016145367458746493
20,2016,9,16.673,40.201,22.66144754241185,0.003215035767306163
21,2016,10,16.673,40.201,19.302830170754874,0.0029152099024528015
22,2016,11,16.673,40.201,15.291700103174435,0.0020506326731137446
23,2016,12,16.673,40.201,10.805078125000023,0.0004951868504221011
24,2018,1,16.673,40.201,11.155027601045276,0.0014669548584437925
25,2018,2,16.673,40.201,10.210595703125023,0.004737669611550191
26,2018,3,16.673,40.201,12.268163926893294,0.00270868342712444
27,2018,4,16.673,40.201,16.289430831842367,0.0004716227839218286
28,2018,5,16.673,40.201,20.34694181017943,0.001389080697655545
29,2018,6,16.673,40.201,24.0055072325203,0.0014566410266990551
30,2018,7,16.673,40.201,27.298242187500023,0.00030697996524436727
31,2018,8,16.673,40.201,26.95092487992696,0.0010825044146009618
32,2018,9,16.673,40.201,25.003131871239987,0.00020327391393948346
33,2018,10,16.673,40.201,20.1576382326283,0.006404157727956772
34,2018,11,16.673,40.201,16.103256239044185,0.002372017249621907
35,2018,12,16.673,40.201,11.586827496946967,0.0014485981303843515
